Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Marca,Modello,Porte,Posti a sedere,Tipo di cambio,Tipo di unita,Colore esterno,Emissioni di CO2,Rivestimenti,Colore originale,Marce,Tipo di vernice,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Cilindrata,Classe emissioni,Cilindri,Veicolo per non fumatori,Consumo carburante,Tagliandi certificati
Station wagon,9f083ebf-9c05-4b50-a9ad-4b72a1478102,Elettrica,KM0,2019,Audi,A4,5,5,Automatico,anteriore,Grigio,0 g CO2/km (comb.),"Altro, Nero",Grigio manhattan metalliz,7,Metallizzato,,,,,1984,,,,,
Berlina,84a54e9b-3efd-46af-bbbf-ee95e8e9a7fd,Elettrica,KM0,2020,Renault,ZOE,5,5,Manuale,anteriore,Lilla,0 g CO2/km (comb.),Stoffa,Viola,1,,,,,,,,,,,
Berlina,cd5acb00-379c-4eeb-9c5b-73971abe7048,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),Pelle totale,Bianco,1,,,,,,,,,,,
Berlina,09fd4b1e-b71a-48b2-aa3d-e5b71686613f,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Grigio,0 g CO2/km (comb.),Pelle totale,Grigio scuro,1,,,,,,,,,,,
Berlina,507cce60-1c49-4804-b23b-d03a8d948d09,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),Pelle totale,Bianco,1,Perlato,,,,,,,,,,
Berlina,45a2d6bd-99bb-40db-ba01-700718505915,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),Stoffa,Bianco,,,,,,,,,,,,
Berlina,f95227a9-7f08-4897-93ae-b7413b4c4343,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Argento,0 g CO2/km (comb.),Stoffa,Argento,1,,,,,,,,,,,
Berlina,6baa5996-033a-482e-b0f8-e46087367a83,Elettrica,KM0,2020,Nissan,Leaf,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),Stoffa,Bianco,1,,,,,,,,,,,
Berlina,7a114d87-3f98-465d-8b4a-8d1563a64f15,Elettrica,KM0,2020,Renault,ZOE,5,5,Automatico,anteriore,Grigio,0 g CO2/km (comb.),"Stoffa, Grigio",Antracite,1,Metallizzato,1502,24 mese,Sì,,,,,,,
Berlina,0c1f9091-6d9b-42d2-8b12-02fc09c822dd,Elettrica,KM0,2020,Renault,ZOE,5,5,Automatico,anteriore,Blu/Azzurro,0 g CO2/km (comb.),,Azzurro,1,Metallizzato,1502,24 mese,Sì,,,,,,,
Berlina,4ca5a2bc-f869-46f5-8e23-993a61e1c2ab,Elettrica,KM0,2017,Citroen,C-Zero,5,4,Automatico,posteriore,Bianco,,"Stoffa, Altro",,,,,12 mese,,,,,,,"13,5 l/100 km (comb.)",
Berlina,a7621616-17e8-4aca-ae27-087dec3bd480,Elettrica,KM0,2017,Citroen,C-Zero,5,4,Automatico,posteriore,Bianco,,"Stoffa, Altro",,,,,12 mese,,,,,,,"13,5 l/100 km (comb.)",
Berlina,a6d1b61a-7b41-43f1-a9c3-b16156a27f08,Elettrica,KM0,2020,smart,forTwo,2,2,Automatico,anteriore,Grigio,0 g CO2/km (comb.),"Pelle totale, Nero",Bodypanels in titania grey mat,,,1095,24 mese,Sì,,,,,,,
Berlina,c0cb7603-43c0-45d9-8e0b-df3e6b12d25d,Elettrica,KM0,2020,Peugeot,208,5,5,Automatico,anteriore,Blu/Azzurro,0 g CO2/km (comb.),"Altro, Nero",,1,Metallizzato,,24 mese,,,,,,,,
Berlina,bc06025b-eda2-4b41-b08e-4ba7e9ebe210,Elettrica,KM0,2020,Renault,ZOE,5,5,Manuale,anteriore,Lilla,0 g CO2/km (comb.),Stoffa,Viola,1,,,,,,,,,,,
Berlina,52faf4f1-35d8-40e0-93f2-6b6d2edc3fdb,Elettrica,KM0,2020,Peugeot,208,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),,Bianco,1,Metallizzato,1530,24 mese,,,,Euro 6,,,,
Berlina,43abc967-cf22-47f8-9b5b-33229ea4aead,Elettrica,KM0,2017,Citroen,C-Zero,5,4,Automatico,,Bianco,0 g CO2/km (comb.),"Stoffa, Marrone",BIANCA,1,,1195,,Sì,1,1,,1,,,
Berlina,def762a4-6486-4e9a-bdad-12be84e21d5b,Elettrica,KM0,2020,Peugeot,208,5,5,,,Bianco,0 g CO2/km (comb.),,,1,,1530,,Sì,1,1,Euro 6d-TEMP,1,,,
Berlina,8a4af569-3b82-415c-9f1c-7a28921b2629,Elettrica,KM0,2020,Peugeot,208,5,5,Automatico,anteriore,Blu/Azzurro,0 g CO2/km (comb.),"Pelle parziale, Nero",blu vertigo,8,Metallizzato,1530,24 mese,,1,1,Euro 6d-TEMP,1,,,
Berlina,9038d6d4-3d31-4b67-a763-51985b4b5d22,Elettrica,KM0,2020,BMW,i3,5,4,Automatico,posteriore,Grigio,0 g CO2/km (comb.),"Stoffa, Nero",mineral grau,1,,1320,Sì,,1,,,,,,
Berlina,f0b9b3df-16d1-44d0-8d45-c4bef3a46b03,Elettrica,KM0,2020,Peugeot,208,5,5,Manuale,anteriore,,0 g CO2/km (comb.),,,,,,,,,,Euro 6,,,,
Berlina,b4eb9b45-dbef-4f24-8187-af1c6511959d,Elettrica,KM0,2020,Peugeot,iOn,5,4,Automatico,posteriore,Bianco,0 g CO2/km (comb.),,Bianco,,Base,1140,,Sì,,900,,,,,
Berlina,93f1f5d8-5917-4df5-972e-55a8261ae86e,Elettrica,KM0,2020,Peugeot,iOn,5,4,Automatico,posteriore,Bianco,0 g CO2/km (comb.),,Bianco,,Base,1140,,Sì,,900,,,,,
Berlina,fa07ecc3-0bb0-43af-8ff5-58dcae410615,Elettrica,KM0,2020,Opel,Corsa,5,5,Automatico,anteriore,Blu/Azzurro,0 g CO2/km (comb.),"Stoffa, Grigio",Blu,1,Base,1530,24 mese,Sì,,,,,,,
Berlina,60cbe832-453a-4024-8d6e-867564419c34,Elettrica,KM0,2020,Peugeot,iOn,5,4,Automatico,posteriore,Bianco,0 g CO2/km (comb.),,Bianco,,Base,1140,,Sì,,900,,,,,
Berlina,22152885-c1b2-4f86-a7fa-d363abee1bdb,Elettrica,KM0,2020,MINI,Cooper S,3,4,Automatico,anteriore,Grigio,,,GRIGIO MEDIO,1,,1440,,,1,,,,,"14,8 l/100 km (comb.)",
Berlina,83ef8ad1-c6dc-4d11-a229-c088ec430205,Elettrica,KM0,2020,MINI,Cooper,3,4,Automatico,anteriore,Blu/Azzurro,,,BLU,1,,1440,,,1,,,,,"14,8 l/100 km (comb.)",
Berlina,6771176c-dca0-4e1f-8bd7-9f80974101de,Elettrica,KM0,2019,BMW,i3,5,4,Automatico,posteriore,Nero,0 g CO2/km (comb.),"Stoffa, Nero",Nero,1,,,,,1,,,,,,
Berlina,13ce3751-b30d-495d-b4de-a06dd7f2ed71,Elettrica,KM0,2020,smart,forFour,5,4,Automatico,posteriore,Nero,0 g CO2/km (comb.),"Stoffa, Nero",Bodypanels in black,,,1200,24 mese,Sì,,,,,,,
Berlina,51ed7b67-badf-42df-9081-c7586c866a7c,Elettrica,KM0,2020,Renault,ZOE,5,5,Manuale,anteriore,Rosso,0 g CO2/km (comb.),"Stoffa, Nero",Rosso,1,Base,,24 mese,,,,,,,,
Berlina,c0ec6738-032d-4c22-87e7-64eeb6637a40,Elettrica,KM0,2019,Renault,ZOE,5,5,Automatico,anteriore,Lilla,0 g CO2/km (comb.),"Stoffa, Nero",Viola,,Metallizzato,1543,,Sì,,,,,Sì,,
Berlina,666c9f28-921c-4e38-af4a-7620387befe1,Elettrica,KM0,2020,Peugeot,208,5,5,Automatico,anteriore,Blu/Azzurro,0 g CO2/km (comb.),"Altro, Altro",,1,,,,,,,,,,,
Berlina,e18d0437-5bb5-46a1-9259-27aae1554c1e,Elettrica,KM0,2019,Nissan,Leaf,5,5,Manuale,anteriore,Grigio,0 g CO2/km (comb.),,Grigio,1,,,,,,,,,,,
Berlina,9f00b06a-1672-487a-86cf-bae0089c086a,Elettrica,KM0,2020,Peugeot,208,5,5,,,Blu/Azzurro,0 g CO2/km (comb.),"Pelle scamosciata, Grigio",,1,,1530,,Sì,1,1,Euro 6d-TEMP,1,,,
Berlina,71da5cd1-4248-4027-86a8-803b79a49b56,Elettrica,KM0,2020,smart,forTwo,2,2,Automatico,posteriore,Nero,0 g CO2/km (comb.),"Stoffa, Nero",Bodypanels in black,,,1085,24 mese,,,,,,,,
Berlina,021a0031-0cae-4011-9339-cbd9e9a7c1ff,Elettrica,KM0,2020,smart,forTwo,2,2,Automatico,posteriore,Argento,0 g CO2/km (comb.),"Stoffa, Nero",Bodypanel in cool silver,,Metallizzato,1085,24 mese,,,,,,,,
Berlina,898f2837-5a86-444a-919c-d0fb9bc645ae,Elettrica,KM0,2020,smart,forTwo,2,2,Automatico,posteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Nero",Bodypanels in white,,,1085,24 mese,,,,,,,,
Berlina,ad8f6e1c-6970-4b12-863a-05a00ec57336,Elettrica,KM0,2020,smart,forTwo,2,2,Automatico,posteriore,Argento,0 g CO2/km (comb.),"Stoffa, Nero",Bodypanel in cool silver,,Metallizzato,1085,24 mese,,,,,,,,
Berlina,b8adcb67-5935-4f0e-84f9-0b412a58dba5,Elettrica,KM0,2020,smart,forTwo,2,2,Automatico,posteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Nero",Bodypanels in white,,,1085,24 mese,,,,,,,,
Berlina,9ab5de5f-eb37-4124-ab9a-f2c896eb19f3,Elettrica,KM0,2020,Opel,Corsa,5,5,Manuale,posteriore,Blu/Azzurro,0 g CO2/km (comb.),"Stoffa, Grigio",Blu,,Metallizzato,,,,,,,,,,
Berlina,0f58ce01-4ff1-4085-b117-a5adebf846e6,Elettrica,KM0,2020,Opel,Corsa,5,5,Automatico,posteriore,Arancione,0 g CO2/km (comb.),"Pelle totale, Nero",Arancione,,Metallizzato,,,,,,,,,,
Berlina,90082be5-d9cd-4ef2-9028-ea6470d8b6f4,Elettrica,KM0,2020,Mitsubishi,I-MiEV,5,4,Automatico,posteriore,,0 g CO2/km (comb.),,,5,,,,,,,,,,,
Berlina,cf1c9efd-1c3d-4103-b269-99c212efab31,Elettrica,KM0,2020,Mitsubishi,I-MiEV,5,4,Automatico,posteriore,,0 g CO2/km (comb.),,,5,,,,,,,,,,,
Berlina,8fdfc4b6-b48b-4c43-b7fa-b8f2cf9ac856,Elettrica,KM0,2020,MINI,Cooper,3,4,Automatico,anteriore,Nero,,,ENIGMATIC BLACK MINI YOURS,1,Metallizzato,1440,,,1,,,,,"14,8 l/100 km (comb.)",
Berlina,ca670c47-4b21-4d63-b0da-0576b1fe4fff,Elettrica,KM0,2020,MINI,Cooper,3,4,Automatico,anteriore,,,,,1,Metallizzato,1440,,,1,,,,,"14,8 l/100 km (comb.)",
