seller,vehicle,country,address,id_annuncio,asking_price,conditional_on_price,price,link_annuncio,vehicle_user_desc
Gino Spa,Mercedes-Benz C 220,IT,57121 Livorno - Li,cae3c144-a9ee-4bed-b187-9de758f49d54,"€ 57.500,- 12",12,57500,https://www.autoscout24.it/annunci/mercedes-benz-c-220-d-auto-cabrio-premium-diesel-grigio-cae3c144-a9ee-4bed-b187-9de758f49d54?cldtidx=9&cldtsrc=listPage,d Auto Cabrio Premium
StarEmilia,Mercedes-Benz E 220,IT,40033 Casalecchio di Reno - Bologna - Bo,aa52ab3e-8d93-4cf2-a9a2-e61b4af0b95a,"€ 58.290,- 12",12,58290,https://www.autoscout24.it/annunci/mercedes-benz-e-220-d-4matic-cabrio-premium-plus-diesel-argento-aa52ab3e-8d93-4cf2-a9a2-e61b4af0b95a?cldtidx=10&cldtsrc=listPage,d 4Matic Cabrio Premium Plus
AUTOVANTI BOLOGNA,BMW 840,IT,40033 Casalecchio di Reno - Bologna - Bo,4f9a2958-c837-4283-a748-cfc3dfc66c00,"€ 99.800,- 12",12,99800,https://www.autoscout24.it/annunci/bmw-840-d-xdrive-cabrio-diesel-nero-4f9a2958-c837-4283-a748-cfc3dfc66c00?cldtidx=11&cldtsrc=listPage,d xDrive Cabrio
AUTOVANTI BOLOGNA,BMW 840,IT,40057 Granarolo dell'Emilia - Bologna - Bo,7bcb3897-2fd9-4aa9-bf9a-c005aafe3f8d,"€ 99.800,- 12",12,99800,https://www.autoscout24.it/annunci/bmw-840-d-xdrive-cabrio-diesel-nero-7bcb3897-2fd9-4aa9-bf9a-c005aafe3f8d?cldtidx=12&cldtsrc=listPage,d xDrive Cabrio
Agricar SpA Vetture Nuove,Mercedes-Benz C 220,IT,25010 San Zeno Naviglio - Brescia - BS,f05640d7-01ce-430f-8868-e6f3afa3003a,"€ 55.000,- 12",12,55000,https://www.autoscout24.it/annunci/mercedes-benz-c-220-list-64-005-c-220d-premium-auto-cabrio-diesel-argento-f05640d7-01ce-430f-8868-e6f3afa3003a?cldtidx=13&cldtsrc=listPage,LIST.64.005€ C 220d Premium Auto Cabrio
StarEmilia,Mercedes-Benz C 220,IT,40033 Casalecchio di Reno - Bologna - Bo,8913b059-2643-4086-9bf3-6436f42db5d0,"€ 49.890,- 12",12,49890,https://www.autoscout24.it/annunci/mercedes-benz-c-220-d-4matic-auto-cabrio-sport-diesel-bianco-8913b059-2643-4086-9bf3-6436f42db5d0?cldtidx=14&cldtsrc=listPage,d 4Matic Auto Cabrio Sport
StarEmilia,Mercedes-Benz C 300,IT,40033 Casalecchio di Reno - Bologna - Bo,b48cf8f9-f690-4f9e-bb64-5504506c8a25,"€ 56.090,- 12",12,56090,https://www.autoscout24.it/annunci/mercedes-benz-c-300-d-auto-cabrio-premium-diesel-nero-b48cf8f9-f690-4f9e-bb64-5504506c8a25?cldtidx=15&cldtsrc=listPage,d Auto Cabrio Premium
StarEmilia,Mercedes-Benz C 220,IT,40033 Casalecchio di Reno - Bologna - Bo,f805ff3d-b941-4c9d-8db9-aa6f54d9c490,"€ 57.590,- 12",12,57590,https://www.autoscout24.it/annunci/mercedes-benz-c-220-d-4matic-auto-cabrio-premium-plus-diesel-grigio-f805ff3d-b941-4c9d-8db9-aa6f54d9c490?cldtidx=16&cldtsrc=listPage,d 4Matic Auto Cabrio Premium PLUS
StarEmilia,Mercedes-Benz C 220,IT,40033 Casalecchio di Reno - Bologna - Bo,c0b828b8-0723-4e68-b96e-8c6167bce431,"€ 55.390,- 12",12,55390,https://www.autoscout24.it/annunci/mercedes-benz-c-220-d-auto-cabrio-premium-diesel-nero-c0b828b8-0723-4e68-b96e-8c6167bce431?cldtidx=17&cldtsrc=listPage,d Auto Cabrio Premium
StarEmilia,Mercedes-Benz C 200,IT,40033 Casalecchio di Reno - Bologna - Bo,6dc00bb0-5aa0-4878-a3fc-8f72e6a9b8f3,"€ 51.990,- 12",12,51990,https://www.autoscout24.it/annunci/mercedes-benz-c-200-d-auto-cabrio-premium-diesel-bianco-6dc00bb0-5aa0-4878-a3fc-8f72e6a9b8f3?cldtidx=18&cldtsrc=listPage,d Auto Cabrio Premium
StarEmilia,Mercedes-Benz C 300,IT,40033 Casalecchio di Reno - Bologna - Bo,edfeb08d-d494-493c-871e-cbc8127a84a2,"€ 56.790,- 12",12,56790,https://www.autoscout24.it/annunci/mercedes-benz-c-300-d-auto-cabrio-premium-diesel-argento-edfeb08d-d494-493c-871e-cbc8127a84a2?cldtidx=19&cldtsrc=listPage,d Auto Cabrio Premium
Crema Diesel Bagnolo,Mercedes-Benz E 220,IT,26010 Bagnolo - Cremasco,19853006-9537-45b1-a3e1-b5bc29c24f07,"€ 61.250,- 12",12,61250,https://www.autoscout24.it/annunci/mercedes-benz-e-220-d-4matic-cabrio-premium-plus-diesel-nero-19853006-9537-45b1-a3e1-b5bc29c24f07?cldtidx=20&cldtsrc=listPage,d 4Matic Cabrio Premium Plus
Bonera Spa,Mercedes-Benz C 220,IT,25135 Brescia - Bs,62c23007-a9cc-4558-a1d7-60f78560b273,"€ 46.750,- 12",12,46750,https://www.autoscout24.it/annunci/mercedes-benz-c-220-classe-d-sport-auto-diesel-nero-62c23007-a9cc-4558-a1d7-60f78560b273?cldtidx=1&cldtsrc=listPage,Classe d Sport auto
